diff,angle,time
0,17979,0.00045490264892578125
-769,18748,0.011198997497558594
-744,19492,0.02186894416809082
-718,20210,0.03252005577087402
-729,20939,0.04310488700866699
-688,21627,0.0536959171295166
-712,22339,0.06420707702636719
-720,23059,0.07476401329040527
-733,23792,0.08530998229980469
-716,24508,0.09586000442504883
7472,17036,0.10638308525085449
-710,17746,0.11693596839904785
-699,18445,0.1275629997253418
-708,19153,0.1383368968963623
-723,19876,0.1489861011505127
-666,20542,0.15958094596862793
-674,21216,0.17020797729492188
-680,21896,0.18071198463439941
-655,22551,0.19121694564819336
-695,23246,0.2017219066619873
-699,23945,0.21220803260803223
7507,16438,0.22275900840759277
-667,17105,0.2335069179534912
-689,17794,0.24415898323059082
-656,18450,0.254863977432251
-703,19153,0.2655200958251953
-662,19815,0.2760910987854004
-640,20455,0.28670787811279297
-628,21083,0.29732608795166016
-634,21717,0.3078620433807373
-644,22361,0.3184928894042969
-637,22998,0.3291189670562744
-667,23665,0.33959197998046875
-657,24322,0.35012292861938477
7549,16773,0.360576868057251
-614,17387,0.3711578845977783
-634,18021,0.3816390037536621
-625,18646,0.39208388328552246
-632,19278,0.40250205993652344
-610,19888,0.41295409202575684
-596,20484,0.423414945602417
-581,21065,0.43387699127197266
-587,21652,0.4444739818572998
-589,22241,0.4548928737640381
-598,22839,0.465364933013916
-607,23446,0.4757699966430664
-625,24071,0.48621392250061035
7606,16465,0.49664306640625
-612,17077,0.5070819854736328
-575,17652,0.5175399780273438
-579,18231,0.5281479358673096
-579,18810,0.5385990142822266
-600,19410,0.5490639209747314
-568,19978,0.5595569610595703
-541,20519,0.5700960159301758
-558,21077,0.5805768966674805
-562,21639,0.5910770893096924
-548,22187,0.6015489101409912
-549,22736,0.6121020317077637
-571,23307,0.6224789619445801
-550,23857,0.6329479217529297
-566,24423,0.6433439254760742
7641,16782,0.653770923614502
-542,17324,0.664172887802124
-540,17864,0.6747729778289795
-539,18403,0.6852359771728516
-559,18962,0.6957149505615234
-524,19486,0.7061610221862793
-534,20020,0.7166180610656738
-510,20530,0.7270960807800293
-496,21026,0.737576961517334
-519,21545,0.74806809425354
-492,22037,0.7584619522094727
-500,22537,0.7689149379730225
-518,23055,0.7793869972229004
-519,23574,0.7898340225219727
-528,24102,0.800199031829834
7692,16410,0.8106310367584229
-518,16928,0.8210458755493164
-482,17410,0.8314969539642334
-499,17909,0.8419129848480225
-471,18380,0.8522510528564453
-504,18884,0.8625919818878174
-471,19355,0.8730659484863281
-495,19850,0.8835089206695557
-451,20301,0.8939390182495117
-472,20773,0.9043900966644287
-447,21220,0.9147999286651611
-468,21688,0.9252469539642334
-454,22142,0.9356799125671387
-459,22601,0.9463090896606445
-454,23055,0.9567680358886719
-480,23535,0.9671850204467773
-467,24002,0.9776279926300049
-461,24463,0.9880740642547607
7749,16714,0.9984970092773438
-444,17158,1.0088469982147217
-453,17611,1.0192949771881104
-429,18040,1.0297529697418213
-442,18482,1.0402469635009766
-427,18909,1.0507049560546875
-441,19350,1.061150074005127
-423,19773,1.0715460777282715
-429,20202,1.0820338726043701
-408,20610,1.092444896697998
-393,21003,1.1028850078582764
-403,21406,1.1133248805999756
-398,21804,1.1236789226531982
-397,22201,1.134023904800415
-402,22603,1.1443369388580322
-422,23025,1.154670000076294
-391,23416,1.164984941482544
-408,23824,1.175257921218872
-413,24237,1.1855669021606445
7804,16433,1.195863962173462
-401,16834,1.2061491012573242
-388,17222,1.216480016708374
-378,17600,1.2268099784851074
-374,17974,1.2371330261230469
-360,18334,1.2474720478057861
-382,18716,1.2578420639038086
-377,19093,1.2681899070739746
-387,19480,1.2785699367523193
-350,19830,1.2889490127563477
-355,20185,1.299232006072998
-365,20550,1.3096659183502197
-336,20886,1.3200929164886475
-346,21232,1.3304219245910645
-347,21579,1.3407950401306152
-342,21921,1.3512508869171143
-359,22280,1.3617138862609863
-343,22623,1.372169017791748
-350,22973,1.3826210498809814
-354,23327,1.3930459022521973
-334,23661,1.4035000801086426
-351,24012,1.4140849113464355
-365,24377,1.4245848655700684
7849,16528,1.435020923614502
-320,16848,1.4455409049987793
-348,17196,1.4559500217437744
-308,17504,1.4663639068603516
-315,17819,1.4768180847167969
-333,18152,1.4872798919677734
-319,18471,1.4976589679718018
-319,18790,1.5081019401550293
-317,19107,1.5185410976409912
-314,19421,1.5289409160614014
-304,19725,1.5394458770751953
-284,20009,1.549942970275879
-298,20307,1.5605409145355225
-292,20599,1.5711300373077393
-295,20894,1.5816280841827393
-289,21183,1.5920419692993164
-282,21465,1.6024930477142334
-294,21759,1.6129319667816162
-267,22026,1.6233470439910889
-279,22305,1.6338350772857666
-281,22586,1.6442818641662598
-280,22866,1.6547350883483887
-284,23150,1.665186882019043
-280,23430,1.6756160259246826
-297,23727,1.6861109733581543
-267,23994,1.6965570449829102
-288,24282,1.7071020603179932
-262,24544,1.7175500392913818
7910,16634,1.7279579639434814
-248,16882,1.7383949756622314
-273,17155,1.748840093612671
-256,17411,1.759310007095337
-235,17646,1.7697579860687256
-245,17891,1.780202865600586
-259,18150,1.7906849384307861
-233,18383,1.80116605758667
-244,18627,1.8116059303283691
-256,18883,1.8220489025115967
-229,19112,1.8324790000915527
-237,19349,1.842961072921753
-247,19596,1.8534290790557861
-230,19826,1.8640329837799072
-207,20033,1.8745338916778564
-232,20265,1.885138988494873
-220,20485,1.8955528736114502
-198,20683,1.9061360359191895
-216,20899,1.916599988937378
-210,21109,1.9272511005401611
-211,21320,1.9377379417419434
-221,21541,1.9482269287109375
-189,21730,1.9586889743804932
-215,21945,1.9691619873046875
-185,22130,1.9795808792114258
-214,22344,1.9900870323181152
-189,22533,2.0005578994750977
-197,22730,2.011091947555542
-199,22929,2.0216078758239746
-213,23142,2.032106876373291
-198,23340,2.0426480770111084
-198,23538,2.053196907043457
-180,23718,2.0637099742889404
-206,23924,2.074371099472046
-180,24104,2.0850908756256104
-191,24295,2.095792055130005
-203,24498,2.1064670085906982
8022,16476,2.1171059608459473
-179,16655,2.1278059482574463
-194,16849,2.1384639739990234
-175,17024,2.149188995361328
-172,17196,2.1600019931793213
-154,17350,2.1706600189208984
-163,17513,2.1813008785247803
-160,17673,2.1918909549713135
-154,17827,2.202367067337036
-154,17981,2.2129769325256348
-166,18147,2.2235910892486572
-149,18296,2.2341480255126953
-135,18431,2.2447330951690674
-148,18579,2.255336046218872
-143,18722,2.26590895652771
-156,18878,2.276473045349121
-124,19002,2.2871339321136475
-140,19142,2.2978150844573975
-135,19277,2.3084728717803955
-131,19408,2.319159984588623
-129,19537,2.3298180103302
-136,19673,2.3404829502105713
-119,19792,2.35115909576416
-119,19911,2.3617630004882812
-100,20011,2.3722610473632812
-124,20135,2.382833957672119
-96,20231,2.3934741020202637
-117,20348,2.403986930847168
-88,20436,2.4144198894500732
-115,20551,2.424923896789551
-99,20650,2.435421943664551
-95,20745,2.4458069801330566
-95,20840,2.4562618732452393
-77,20917,2.466681957244873
-89,21006,2.4770870208740234
-98,21104,2.4874730110168457
-71,21175,2.497917890548706
-98,21273,2.5083470344543457
-82,21355,2.5188050270080566
-83,21438,2.529252052307129
-78,21516,2.5396718978881836
-78,21594,2.5501420497894287
-76,21670,2.5605740547180176
-59,21729,2.5710489749908447
-85,21814,2.581480026245117
-68,21882,2.591912031173706
-71,21953,2.602344036102295
-64,22017,2.6127710342407227
-51,22068,2.6231040954589844
-79,22147,2.6335599422454834
-61,22208,2.644084930419922
-47,22255,2.6545069217681885
-73,22328,2.6649489402770996
-45,22373,2.6753830909729004
-57,22430,2.685842990875244
-49,22479,2.6962170600891113
-50,22529,2.706660032272339
-47,22576,2.717160940170288
-46,22622,2.72763991355896
-59,22681,2.7380900382995605
-42,22723,2.7485430240631104
-29,22752,2.759129047393799
-56,22808,2.7696080207824707
-27,22835,2.7802579402923584
-52,22887,2.790803909301758
-23,22910,2.8013439178466797
-52,22962,2.8118948936462402
-20,22982,2.8224360942840576
-34,23016,2.832979917526245
-43,23059,2.843524932861328
-16,23075,2.8540780544281006
-43,23118,2.8645639419555664
-12,23130,2.875128984451294
-25,23155,2.885624885559082
-21,23176,2.896177053451538
-32,23208,2.906636953353882
-15,23223,2.917172908782959
-2,23225,2.9276609420776367
-12,23237,2.9381680488586426
-21,23258,2.9486539363861084
8,23250,2.9591469764709473
-3,23253,2.9696309566497803
-16,23269,2.9802019596099854
0,23269,2.9907820224761963
0,23269,3.0013620853424072
2,23267,3.011857032775879
0,23267,3.0223469734191895
15,23252,3.0328409671783447
-15,23267,3.0433189868927
0,23267,3.053804874420166
1,23266,3.0642828941345215
13,23253,3.074774980545044
1,23252,3.0853400230407715
-16,23268,3.095897912979126
1,23267,3.106339931488037
0,23267,3.116827964782715
1,23266,3.1273210048675537
12,23254,3.1378090381622314
-12,23266,3.148303985595703
0,23266,3.158787965774536
14,23252,3.1692728996276855
-1,23253,3.1796679496765137
-14,23267,3.190030097961426
14,23253,3.200587034225464
0,23253,3.2111639976501465
-13,23266,3.2217209339141846
-1,23267,3.2322850227355957
-1,23268,3.2428479194641113
16,23252,3.2534310817718506
-1,23253,3.264064073562622
2,23251,3.274625062942505
-1,23252,3.285191059112549
-14,23266,3.295768976211548
14,23252,3.3063480854034424
-14,23266,3.31695294380188
14,23252,3.327523946762085
-16,23268,3.338102102279663
1,23267,3.34867787361145
0,23267,3.3591549396514893
14,23253,3.3696510791778564
1,23252,3.380078077316284
-15,23267,3.3905179500579834
1,23266,3.4010229110717773
0,23266,3.4114460945129395
0,23266,3.4218618869781494
0,23266,3.4322729110717773
0,23266,3.4427170753479004
14,23252,3.4531400203704834
-1,23253,3.4635510444641113
0,23253,3.474013090133667
0,23253,3.484433889389038
0,23253,3.4948530197143555
1,23252,3.505290985107422
-14,23266,3.515687942504883
-1,23267,3.5261270999908447
16,23251,3.536555051803589
-1,23252,3.547111988067627
-14,23266,3.557548999786377
13,23253,3.5680830478668213
1,23252,3.5784900188446045
0,23252,3.5889170169830322
-15,23267,3.5993540287017822
0,23267,3.6097819805145264
1,23266,3.620128870010376
0,23266,3.630547046661377
-1,23267,3.6410090923309326
15,23252,3.6514439582824707
1,23251,3.661855936050415
-15,23266,3.6722769737243652
0,23266,3.6826980113983154
0,23266,3.6931309700012207
14,23252,3.703566074371338
-14,23266,3.714092969894409
0,23266,3.724518060684204
0,23266,3.7349438667297363
-1,23267,3.745366096496582
-1,23268,3.7558000087738037
2,23266,3.7662298679351807
1,23265,3.776654005050659
14,23251,3.7870728969573975
-16,23267,3.7975080013275146
-1,23268,3.8079450130462646
16,23252,3.818397045135498
0,23252,3.8288300037384033
-15,23267,3.8392629623413086
15,23252,3.8496899604797363
-1,23253,3.860111951828003
0,23253,3.8704819679260254
-13,23266,3.8809120655059814
14,23252,3.8913309574127197
-14,23266,3.9017438888549805
-1,23267,3.912153959274292
0,23267,3.922574043273926
14,23253,3.933048963546753
-13,23266,3.9434690475463867
-1,23267,3.9539098739624023
0,23267,3.964323043823242
-1,23268,3.9747369289398193
2,23266,3.9851419925689697
13,23253,3.9955410957336426
-14,23267,4.0060179233551025
15,23252,4.016409873962402
-1,23253,4.026824951171875
-14,23267,4.037240982055664
15,23252,4.047677040100098
-1,23253,4.058120965957642
-1,23254,4.068551063537598
-13,23267,4.078931093215942
0,23267,4.08935809135437
0,23267,4.099777936935425
0,23267,4.110209941864014
14,23253,4.12064003944397
1,23252,4.131097078323364
-1,23253,4.141506910324097
1,23252,4.151937007904053
-15,23267,4.162394046783447
0,23267,4.172826051712036
1,23266,4.1832520961761475
13,23253,4.1936728954315186
-13,23266,4.204106092453003
0,23266,4.214521884918213
14,23252,4.224942922592163
0,23252,4.2353410720825195
-15,23267,4.245780944824219
1,23266,4.256211042404175
14,23252,4.266648054122925
-2,23254,4.277065992355347
1,23253,4.287514925003052
1,23252,4.29808497428894
-14,23266,4.308539867401123
14,23252,4.319041967391968
-13,23265,4.329456090927124
13,23252,4.339924097061157
-15,23267,4.350378036499023
-1,23268,4.3608338832855225
2,23266,4.371283054351807
-1,23267,4.381725072860718
14,23253,4.392189979553223
-13,23266,4.402602910995483
14,23252,4.41301703453064
-15,23267,4.4234349727630615
15,23252,4.433849096298218
0,23252,4.4443039894104
-1,23253,4.454714059829712
-13,23266,4.4651288986206055
14,23252,4.475550889968872
0,23252,4.4860429763793945
0,23252,4.496454954147339
-14,23266,4.506875991821289
13,23253,4.517258882522583
1,23252,4.527687072753906
-1,23253,4.538143873214722
-14,23267,4.548562049865723
1,23266,4.5590760707855225
-1,23267,4.569514036178589
0,23267,4.580092906951904
1,23266,4.59052586555481
-2,23268,4.601075887680054
16,23252,4.611507892608643
-15,23267,4.621861934661865
0,23267,4.632272958755493
1,23266,4.642630100250244
0,23266,4.65302586555481
13,23253,4.66346001625061
-14,23267,4.6739161014556885
0,23267,4.6843650341033936
14,23253,4.694813966751099
1,23252,4.705267906188965
-15,23267,4.715734004974365
14,23253,4.7263500690460205
-13,23266,4.73699688911438
14,23252,4.7476160526275635
-15,23267,4.7582619190216064
0,23267,4.76882004737854
14,23253,4.779376029968262
-14,23267,4.7898170948028564
1,23266,4.800174951553345
14,23252,4.810554027557373
0,23252,4.820930004119873
0,23252,4.831310033798218
-14,23266,4.8416900634765625
13,23253,4.852068901062012
-13,23266,4.8624489307403564
-1,23267,4.872828006744385
14,23253,4.883153915405273
-14,23267,4.893477916717529
15,23252,4.903800964355469
-14,23266,4.914119005203247
0,23266,4.924432039260864
-1,23267,4.934748888015747
15,23252,4.945101976394653
-15,23267,4.95541787147522
15,23252,4.9657368659973145
0,23252,4.976042032241821
1,23251,4.986432075500488
-16,23267,4.996813058853149
15,23252,5.007203102111816
0,23252,5.0175840854644775
-2,23254,5.028065919876099
1,23253,5.038549900054932
0,23253,5.049032926559448
0,23253,5.059674024581909
-13,23266,5.070291042327881
0,23266,5.08089804649353
-1,23267,5.0914459228515625
15,23252,5.102088928222656
0,23252,5.112641096115112
-15,23267,5.1231889724731445
15,23252,5.1337809562683105
-15,23267,5.1443939208984375
13,23254,5.154888868331909
-13,23267,5.165409088134766
14,23253,5.175956964492798
-14,23267,5.186387062072754
14,23253,5.196923017501831
2,23251,5.207446098327637
-15,23266,5.2179670333862305
0,23266,5.22849702835083
