diff,angle,time
0,24405,0.0004291534423828125
7252,17153,0.011025190353393555
-948,18101,0.021740198135375977
-939,19040,0.032334089279174805
-933,19973,0.04293107986450195
-914,20887,0.05352520942687988
-897,21784,0.06406116485595703
-914,22698,0.07480001449584961
-934,23632,0.0854651927947998
-950,24582,0.09607815742492676
7267,17315,0.10674810409545898
-892,18207,0.11740612983703613
-942,19149,0.12810802459716797
-905,20054,0.13876914978027344
-862,20916,0.14940619468688965
-872,21788,0.16000103950500488
-895,22683,0.1706252098083496
-900,23583,0.18123221397399902
-918,24501,0.19187307357788086
7317,17184,0.20242905616760254
-868,18052,0.21301817893981934
-885,18937,0.2236340045928955
-897,19834,0.23430204391479492
-852,20686,0.24495720863342285
-836,21522,0.25562405586242676
-861,22383,0.2663130760192871
-858,23241,0.27687501907348633
-889,24130,0.2875490188598633
7317,16813,0.29818105697631836
-862,17675,0.3088850975036621
-842,18517,0.31950998306274414
-850,19367,0.3301661014556885
-828,20195,0.34073305130004883
-819,21014,0.35138916969299316
-816,21830,0.36203908920288086
-836,22666,0.37284302711486816
-839,23505,0.3835179805755615
-865,24370,0.3941781520843506
7376,16994,0.4047110080718994
-818,17812,0.4153590202331543
-826,18638,0.4260571002960205
-822,19460,0.43665504455566406
-797,20257,0.44733500480651855
-789,21046,0.45800209045410156
-801,21847,0.46866512298583984
-773,22620,0.4793059825897217
-811,23431,0.4899451732635498
-827,24258,0.5005941390991211
7400,16858,0.5111250877380371
-797,17655,0.5217320919036865
-778,18433,0.5324010848999023
-800,19233,0.5430431365966797
-772,20005,0.5535330772399902
-743,20748,0.5640671253204346
-749,21497,0.5745480060577393
-733,22230,0.5849289894104004
-733,22963,0.595332145690918
-776,23739,0.60579514503479
-762,24501,0.6163480281829834
7437,17064,0.6267971992492676
-746,17810,0.6372520923614502
-727,18537,0.6476650238037109
-744,19281,0.6580941677093506
-739,20020,0.6684842109680176
-696,20716,0.6788671016693115
-718,21434,0.6893231868743896
-699,22133,0.6997940540313721
-704,22837,0.7102420330047607
-726,23563,0.7207050323486328
-750,24313,0.7311789989471436
7465,16848,0.7417120933532715
-713,17561,0.7521522045135498
-682,18243,0.7625350952148438
-711,18954,0.7729589939117432
-715,19669,0.783499002456665
-677,20346,0.7939469814300537
-690,21036,0.8043839931488037
-668,21704,0.8148281574249268
-674,22378,0.8252830505371094
-687,23065,0.8357410430908203
-693,23758,0.846215009689331
-686,24444,0.8566381931304932
7507,16937,0.8670580387115479
-667,17604,0.8775100708007812
-677,18281,0.8879320621490479
-665,18946,0.8983891010284424
-689,19635,0.9088470935821533
-628,20263,0.9192190170288086
-636,20899,0.9297041893005371
-641,21540,0.9402050971984863
-642,22182,0.950747013092041
-647,22829,0.9612150192260742
-661,23490,0.9716830253601074
-676,24166,0.9821341037750244
7541,16625,0.9925720691680908
-638,17263,1.0029430389404297
-610,17873,1.0133821964263916
-632,18505,1.0238420963287354
-653,19158,1.0342822074890137
-630,19788,1.0447521209716797
-608,20396,1.055220127105713
-589,20985,1.0657360553741455
-605,21590,1.0762372016906738
-598,22188,1.0866961479187012
-608,22796,1.0971591472625732
-633,23429,1.107607126235962
-610,24039,1.1180920600891113
7559,16480,1.1285300254821777
-599,17079,1.1389820575714111
-593,17672,1.1494371891021729
-584,18256,1.159891128540039
-586,18842,1.170328140258789
-597,19439,1.1808102130889893
-594,20033,1.1912620067596436
-561,20594,1.2017030715942383
-549,21143,1.2121551036834717
-557,21700,1.2225611209869385
-560,22260,1.2330341339111328
-577,22837,1.2434890270233154
-582,23419,1.2539801597595215
-577,23996,1.2644309997558594
-561,24557,1.274886131286621
7615,16942,1.2852461338043213
-549,17491,1.2956881523132324
-531,18022,1.3061490058898926
-562,18584,1.316603183746338
-539,19123,1.3270201683044434
-561,19684,1.3374781608581543
-531,20215,1.3479111194610596
-506,20721,1.3584070205688477
-534,21255,1.3688380718231201
-516,21771,1.3792800903320312
-517,22288,1.38972806930542
-520,22808,1.4002001285552979
-531,23339,1.4107351303100586
-526,23865,1.4211840629577637
-525,24390,1.4317409992218018
7660,16730,1.4422030448913574
-525,17255,1.452674150466919
-488,17743,1.463123083114624
-496,18239,1.4735450744628906
-510,18749,1.484004020690918
-516,19265,1.4944729804992676
-500,19765,1.5049540996551514
-467,20232,1.5154051780700684
-472,20704,1.525865077972412
-480,21184,1.5365409851074219
-495,21679,1.5472149848937988
-472,22151,1.5577301979064941
-467,22618,1.5683841705322266
-498,23116,1.5789179801940918
-464,23580,1.589327096939087
-497,24077,1.599809169769287
-478,24555,1.6102800369262695
7720,16835,1.620784044265747
-458,17293,1.6312730312347412
-441,17734,1.6417341232299805
-462,18196,1.6522390842437744
-454,18650,1.662750005722046
-459,19109,1.673192024230957
-444,19553,1.6837131977081299
-441,19994,1.6941511631011963
-411,20405,1.7045910358428955
-420,20825,1.715041160583496
-422,21247,1.7254900932312012
-417,21664,1.7359540462493896
-414,22078,1.7464370727539062
-457,22535,1.7574620246887207
-407,22942,1.7679150104522705
-426,23368,1.778379201889038
-444,23812,1.7888600826263428
-411,24223,1.799302101135254
7773,16450,1.8097760677337646
-411,16861,1.8202621936798096
-406,17267,1.830705165863037
-411,17678,1.8411540985107422
-376,18054,1.851675033569336
-401,18455,1.8620820045471191
-396,18851,1.8725001811981201
-412,19263,1.8829221725463867
-376,19639,1.8935701847076416
-387,20026,1.9042291641235352
-375,20401,1.914870023727417
-373,20774,1.9254419803619385
-387,21161,1.936103105545044
-355,21516,1.9467601776123047
-381,21897,1.9573161602020264
-362,22259,1.9680449962615967
-359,22618,1.9786591529846191
-380,22998,1.989212989807129
-361,23359,1.9997870922088623
-382,23741,2.0102829933166504
-352,24093,2.020822048187256
-367,24460,2.0313470363616943
7835,16625,2.0418171882629395
-357,16982,2.0523881912231445
-347,17329,2.063077211380005
-360,17689,2.073815107345581
-347,18036,2.0846199989318848
-328,18364,2.0952839851379395
-347,18711,2.106084108352661
-367,19078,2.1167850494384766
-321,19399,2.127397060394287
-334,19733,2.1379799842834473
-336,20069,2.1487021446228027
-318,20387,2.159428119659424
-302,20689,2.1700830459594727
-312,21001,2.180821180343628
-316,21317,2.1914331912994385
-321,21638,2.201956033706665
-304,21942,2.212548017501831
-290,22232,2.2231340408325195
-317,22549,2.2337541580200195
-309,22858,2.2443912029266357
-292,23150,2.255005121231079
-324,23474,2.2656521797180176
-313,23787,2.2763540744781494
-305,24092,2.2870450019836426
-303,24395,2.297711133956909
7907,16488,2.3083419799804688
-305,16793,2.3190011978149414
-291,17084,2.329557180404663
-276,17360,2.3401072025299072
-275,17635,2.350788116455078
-277,17912,2.361297130584717
-257,18169,2.371859073638916
-270,18439,2.382322072982788
-269,18708,2.392791986465454
-286,18994,2.403257131576538
-263,19257,2.413701057434082
-246,19503,2.4241561889648438
-255,19758,2.4347381591796875
-247,20005,2.445122003555298
-244,20249,2.455579996109009
-244,20493,2.46625018119812
-242,20735,2.476922035217285
-257,20992,2.487589120864868
-243,21235,2.498354196548462
-220,21455,2.508787155151367
-247,21702,2.519360065460205
-229,21931,2.5298690795898438
-228,22159,2.540443181991577
-219,22378,2.551206111907959
-247,22625,2.561958074569702
-216,22841,2.57256817817688
-232,23073,2.5832090377807617
-244,23317,2.593816041946411
-212,23529,2.60443115234375
-240,23769,2.615032196044922
-211,23980,2.625627040863037
-235,24215,2.6362111568450928
-203,24418,2.6467981338500977
7965,16453,2.6573190689086914
-206,16659,2.667875051498413
-192,16851,2.678389072418213
-202,17053,2.6889681816101074
-196,17249,2.6995110511779785
-194,17443,2.7100791931152344
-203,17646,2.7205100059509277
-172,17818,2.731020212173462
-198,18016,2.741525173187256
-181,18197,2.7519822120666504
-167,18364,2.762615203857422
-184,18548,2.773308038711548
-195,18743,2.783989191055298
-180,18923,2.794603109359741
-161,19084,2.8052220344543457
-189,19273,2.8157989978790283
-154,19427,2.8264670372009277
-166,19593,2.837114095687866
-175,19768,2.8478291034698486
-144,19912,2.8585431575775146
-158,20070,2.8694491386413574
-151,20221,2.880028009414673
-166,20387,2.8906099796295166
-145,20532,2.901196002960205
-143,20675,2.9117560386657715
-145,20820,2.9223310947418213
-126,20946,2.932910203933716
-138,21084,2.9434731006622314
-150,21234,2.9540421962738037
-121,21355,2.964726209640503
-148,21503,2.9752800464630127
-115,21618,2.985870122909546
-131,21749,2.9965322017669678
-129,21878,3.00726318359375
-128,22006,3.018090009689331
-125,22131,3.028813123703003
-129,22260,3.0395421981811523
-135,22395,3.050271987915039
-122,22517,3.0610411167144775
-102,22619,3.0718181133270264
-133,22752,3.0823590755462646
-99,22851,3.0928781032562256
-128,22979,3.1034700870513916
-100,23079,3.1140260696411133
-109,23188,3.1248221397399902
-123,23311,3.1354970932006836
-107,23418,3.146210193634033
-105,23523,3.1569252014160156
-103,23626,3.167598009109497
-86,23712,3.1782970428466797
-99,23811,3.188858985900879
-110,23921,3.1994709968566895
-75,23996,3.2100110054016113
-85,24081,3.220550060272217
-85,24166,3.2310872077941895
-95,24261,3.2417690753936768
-80,24341,3.2523250579833984
-61,24402,3.262860059738159
-87,24489,3.273555040359497
-60,24549,3.284187078475952
8110,16439,3.2948110103607178
-52,16491,3.305417060852051
-77,16568,3.316026210784912
-60,16628,3.3266351222991943
-42,16670,3.3372490406036377
-66,16736,3.347856044769287
-50,16786,3.3584561347961426
-47,16833,3.3690671920776367
-30,16863,3.3797922134399414
-43,16906,3.3903791904449463
-57,16963,3.4009251594543457
-40,17003,3.411534070968628
-22,17025,3.422159194946289
-50,17075,3.43276309967041
-22,17097,3.443366050720215
-46,17143,3.453979015350342
-29,17172,3.464586019515991
-26,17198,3.4752089977264404
-11,17209,3.4858291149139404
-25,17234,3.4964351654052734
-19,17253,3.507045030593872
-20,17273,3.5177600383758545
-15,17288,3.5284030437469482
-15,17303,3.5390031337738037
-11,17314,3.5496110916137695
-21,17335,3.5602622032165527
-6,17341,3.570918083190918
-1,17342,3.581521987915039
-1,17343,3.592107057571411
15,17328,3.6027181148529053
2,17326,3.6132941246032715
-15,17341,3.6238901615142822
16,17325,3.6344661712646484
-15,17340,3.645047187805176
0,17340,3.6556880474090576
0,17340,3.6662681102752686
1,17339,3.6768851280212402
13,17326,3.6875901222229004
0,17326,3.6982641220092773
0,17326,3.708909034729004
-15,17341,3.719506025314331
1,17340,3.730087995529175
1,17339,3.7407259941101074
14,17325,3.751315116882324
-12,17337,3.7618072032928467
-4,17341,3.772463083267212
2,17339,3.7829930782318115
12,17327,3.793516159057617
-14,17341,3.8040480613708496
2,17339,3.8145651817321777
15,17324,3.824989080429077
-2,17326,3.8354270458221436
-14,17340,3.845870018005371
0,17340,3.8563051223754883
13,17327,3.866765022277832
-14,17341,3.8772799968719482
15,17326,3.887801170349121
-14,17340,3.8983540534973145
15,17325,3.908881187438965
-15,17340,3.919434070587158
0,17340,3.9299590587615967
-1,17341,3.9404821395874023
0,17341,3.9510080814361572
1,17340,3.9615321159362793
12,17328,3.9720191955566406
2,17326,3.982523202896118
0,17326,3.993025064468384
-14,17340,4.003504037857056
0,17340,4.0139000415802
15,17325,4.0243120193481445
-16,17341,4.034762144088745
0,17341,4.045192003250122
14,17327,4.055714130401611
-1,17328,4.06611704826355
2,17326,4.076501131057739
-14,17340,4.086924076080322
14,17326,4.097348213195801
0,17326,4.1077940464019775
-1,17327,4.118242979049683
0,17327,4.128673076629639
-14,17341,4.139142036437988
2,17339,4.149646043777466
14,17325,4.1600661277771
-1,17326,4.170709133148193
0,17326,4.181249141693115
-1,17327,4.191788196563721
0,17327,4.202325105667114
-12,17339,4.213024139404297
0,17339,4.223788022994995
-1,17340,4.2344911098480225
12,17328,4.2452051639556885
2,17326,4.255832195281982
-15,17341,4.266533136367798
1,17340,4.277193069458008
-1,17341,4.2879040241241455
14,17327,4.2986531257629395
-13,17340,4.3092920780181885
14,17326,4.320017099380493
-14,17340,4.330795049667358
14,17326,4.341423988342285
-13,17339,4.352131128311157
0,17339,4.362760066986084
2,17337,4.373309135437012
12,17325,4.384040117263794
-14,17339,4.394790172576904
-1,17340,4.405417203903198
-1,17341,4.416015148162842
0,17341,4.426622152328491
14,17327,4.437218189239502
3,17324,4.447805166244507
-1,17325,4.4584150314331055
-15,17340,4.469027996063232
14,17326,4.479788064956665
0,17326,4.490498065948486
1,17325,4.5012102127075195
-15,17340,4.511963129043579
12,17328,4.522654056549072
-12,17340,4.533236980438232
15,17325,4.543812036514282
0,17325,4.554387092590332
-1,17326,4.564968109130859
0,17326,4.575456142425537
-14,17340,4.585913181304932
14,17326,4.596365213394165
0,17326,4.606844186782837
-14,17340,4.617355108261108
1,17339,4.627825021743774
-1,17340,4.638341188430786
14,17326,4.648849010467529
1,17325,4.659548044204712
-2,17327,4.670250177383423
-14,17341,4.680865049362183
15,17326,4.691472053527832
-1,17327,4.7020790576934814
-13,17340,4.712707996368408
14,17326,4.723182201385498
-14,17340,4.733849048614502
1,17339,4.7445549964904785
-1,17340,4.755125045776367
-1,17341,4.76566219329834
15,17326,4.77625298500061
2,17324,4.786708116531372
-15,17339,4.797168016433716
13,17326,4.807687044143677
-15,17341,4.818145990371704
16,17325,4.828556060791016
-2,17327,4.8391711711883545
-13,17340,4.849708080291748
0,17340,4.8601601123809814
14,17326,4.87073016166687
1,17325,4.881336212158203
1,17324,4.8917810916900635
-1,17325,4.9022791385650635
-14,17339,4.912837982177734
-1,17340,4.923394203186035
-1,17341,4.933948993682861
2,17339,4.944516181945801
15,17324,4.955069065093994
0,17324,4.9657301902771
-3,17327,4.97628116607666
-12,17339,4.986932992935181
13,17326,4.997542142868042
-13,17339,5.008130073547363
13,17326,5.018817186355591
-15,17341,5.029321193695068
15,17326,5.039880990982056
0,17326,5.050430059432983
-14,17340,5.060949087142944
-1,17341,5.071487188339233
2,17339,5.082065105438232
0,17339,5.092602014541626
12,17327,5.1031341552734375
-13,17340,5.113706111907959
0,17340,5.124281167984009
15,17325,5.134834051132202
-2,17327,5.145385980606079
-1,17328,5.155961990356445
2,17326,5.166520118713379
0,17326,5.176928997039795
-14,17340,5.187409162521362
0,17340,5.197899103164673
15,17325,5.2082250118255615
-2,17327,5.218598127365112
-14,17341,5.2290120124816895
2,17339,5.239428997039795
-2,17341,5.249860048294067
1,17340,5.260228157043457
14,17326,5.270637035369873
